date,Exxon
2013-11-09,20.21
2013-11-10,19.78
2013-11-11,23.65
2013-11-12,26.23
2013-11-13,26.23
2013-11-14,34.4
2013-11-15,43.0
2013-11-16,26.23
2013-11-17,24.509999999999998
2013-11-18,30.099999999999998
2013-11-19,33.11
2013-11-20,25.8
2013-11-21,25.8
2013-11-22,25.37
2013-11-23,21.07
2013-11-24,22.36
2013-11-25,26.23
2013-11-26,28.38
2013-11-27,18.919999999999998
2013-11-28,22.79
2013-11-29,15.48
2013-11-30,27.95
2013-12-01,24.779999999999998
2013-12-02,31.5
2013-12-03,36.54
2013-12-04,37.8
2013-12-05,27.3
2013-12-06,31.5
2013-12-07,25.619999999999997
2013-12-08,27.3
2013-12-09,32.76
2013-12-10,29.82
2013-12-11,36.54
2013-12-12,36.12
2013-12-13,31.919999999999998
2013-12-14,26.04
2013-12-15,29.4
2013-12-16,31.5
2013-12-17,35.699999999999996
2013-12-18,37.8
2013-12-19,32.339999999999996
2013-12-20,34.019999999999996
2013-12-21,29.82
2013-12-22,24.779999999999998
2013-12-23,32.339999999999996
2013-12-24,28.98
2013-12-25,30.24
2013-12-26,41.16
2013-12-27,38.22
2013-12-28,42.0
2013-12-29,34.44
2013-12-30,33.6
2013-12-31,35.28
2014-01-01,32.4
2014-01-02,32.0
2014-01-03,27.6
2014-01-04,32.4
2014-01-05,18.0
2014-01-06,30.0
2014-01-07,36.0
2014-01-08,36.800000000000004
2014-01-09,32.800000000000004
2014-01-10,32.4
2014-01-11,25.200000000000003
2014-01-12,22.8
2014-01-13,37.2
2014-01-14,29.6
2014-01-15,33.2
2014-01-16,36.0
2014-01-17,32.0
2014-01-18,23.6
2014-01-19,19.6
2014-01-20,29.6
2014-01-21,37.2
2014-01-22,39.6
2014-01-23,30.0
2014-01-24,25.200000000000003
2014-01-25,26.400000000000002
2014-01-26,18.8
2014-01-27,31.200000000000003
2014-01-28,35.2
2014-01-29,40.0
2014-01-30,34.4
2014-01-31,33.2
2014-02-01,31.82
2014-02-02,26.66
2014-02-03,41.28
2014-02-04,34.83
2014-02-05,41.28
2014-02-06,41.28
2014-02-07,38.269999999999996
2014-02-08,21.93
2014-02-09,24.08
2014-02-10,38.269999999999996
2014-02-11,39.99
2014-02-12,37.839999999999996
2014-02-13,42.14
2014-02-14,39.99
2014-02-15,29.669999999999998
2014-02-16,21.07
2014-02-17,30.53
2014-02-18,32.68
2014-02-19,33.97
2014-02-20,39.13
2014-02-21,39.13
2014-02-22,38.269999999999996
2014-02-23,35.69
2014-02-24,43.0
2014-02-25,33.11
2014-02-26,39.56
2014-02-27,39.99
2014-02-28,40.85
2014-03-01,21.599999999999998
2014-03-02,14.399999999999999
2014-03-03,21.599999999999998
2014-03-04,24.0
2014-03-05,23.52
2014-03-06,24.96
2014-03-07,22.56
2014-03-08,16.8
2014-03-09,15.36
2014-03-10,21.599999999999998
2014-03-11,19.68
2014-03-12,21.119999999999997
2014-03-13,22.56
2014-03-14,19.68
2014-03-15,13.92
