date,Bank of America
2013-08-18,46.739999999999995
2013-08-19,67.24
2013-08-20,68.88
2013-08-21,65.6
2013-08-22,65.6
2013-08-23,69.7
2013-08-24,58.22
2013-08-25,46.739999999999995
2013-08-26,61.49999999999999
2013-08-27,63.959999999999994
2013-08-28,61.49999999999999
2013-08-29,63.959999999999994
2013-08-30,79.53999999999999
2013-08-31,65.6
2013-09-01,46.5
2013-09-02,50.25
2013-09-03,75.0
2013-09-04,72.75
2013-09-05,70.5
2013-09-06,75.0
2013-09-07,59.25
2013-09-08,42.75
2013-09-09,64.5
2013-09-10,63.75
2013-09-11,63.0
2013-09-12,63.0
2013-09-13,72.0
2013-09-14,60.75
2013-09-15,43.5
2013-09-16,65.25
2013-09-17,61.5
2013-09-18,61.5
2013-09-19,60.75
2013-09-20,69.75
2013-09-21,57.75
2013-09-22,41.25
2013-09-23,61.5
2013-09-24,61.5
2013-09-25,60.0
2013-09-26,60.75
2013-09-27,69.0
2013-09-28,58.5
2013-09-29,42.75
2013-09-30,66.75
2013-10-01,74.0
2013-10-02,68.08
2013-10-03,68.82
2013-10-04,73.26
2013-10-05,61.42
2013-10-06,42.92
2013-10-07,65.86
2013-10-08,65.86
2013-10-09,62.9
2013-10-10,64.38
2013-10-11,71.78
2013-10-12,58.46
2013-10-13,44.4
2013-10-14,62.9
2013-10-15,65.12
2013-10-16,64.38
2013-10-17,59.94
2013-10-18,68.82
2013-10-19,54.76
2013-10-20,42.18
2013-10-21,59.94
2013-10-22,57.72
2013-10-23,57.72
2013-10-24,59.2
2013-10-25,65.86
2013-10-26,54.019999999999996
2013-10-27,39.96
2013-10-28,57.72
2013-10-29,59.94
2013-10-30,55.5
2013-10-31,62.9
2013-11-01,69.0
2013-11-02,55.199999999999996
2013-11-03,39.33
2013-11-04,57.959999999999994
2013-11-05,55.199999999999996
2013-11-06,52.44
2013-11-07,51.74999999999999
2013-11-08,59.339999999999996
2013-11-09,51.059999999999995
2013-11-10,35.879999999999995
2013-11-11,46.919999999999995
2013-11-12,53.129999999999995
2013-11-13,53.81999999999999
2013-11-14,53.81999999999999
2013-11-15,62.78999999999999
2013-11-16,51.059999999999995
2013-11-17,33.809999999999995
2013-11-18,50.37
2013-11-19,50.37
2013-11-20,50.37
2013-11-21,50.37
2013-11-22,54.51
2013-11-23,47.61
2013-11-24,34.5
2013-11-25,48.989999999999995
2013-11-26,53.129999999999995
2013-11-27,57.959999999999994
2013-11-28,34.5
2013-11-29,54.51
2013-11-30,52.44
2013-12-01,41.18
2013-12-02,61.769999999999996
2013-12-03,63.19
2013-12-04,56.089999999999996
2013-12-05,54.669999999999995
2013-12-06,58.93
2013-12-07,54.669999999999995
2013-12-08,36.92
2013-12-09,52.54
2013-12-10,53.959999999999994
2013-12-11,53.25
2013-12-12,54.669999999999995
2013-12-13,61.769999999999996
2013-12-14,52.54
2013-12-15,39.05
2013-12-16,57.51
2013-12-17,56.089999999999996
2013-12-18,56.089999999999996
2013-12-19,62.48
2013-12-20,71.0
2013-12-21,62.48
2013-12-22,41.89
2013-12-23,65.32
2013-12-24,65.32
2013-12-25,32.66
2013-12-26,59.64
2013-12-27,66.74
2013-12-28,55.379999999999995
2013-12-29,39.05
2013-12-30,61.059999999999995
2013-12-31,69.58
2014-01-01,44.849999999999994
2014-01-02,64.86
2014-01-03,68.30999999999999
2014-01-04,57.959999999999994
2014-01-05,40.019999999999996
2014-01-06,58.65
2014-01-07,55.199999999999996
2014-01-08,57.269999999999996
2014-01-09,57.269999999999996
2014-01-10,63.48
2014-01-11,53.81999999999999
2014-01-12,39.33
2014-01-13,54.51
2014-01-14,58.65
2014-01-15,62.099999999999994
2014-01-16,56.58
2014-01-17,63.48
2014-01-18,54.51
2014-01-19,37.26
2014-01-20,48.989999999999995
2014-01-21,54.51
2014-01-22,57.959999999999994
2014-01-23,54.51
2014-01-24,60.029999999999994
2014-01-25,51.059999999999995
2014-01-26,37.949999999999996
2014-01-27,50.37
2014-01-28,66.92999999999999
2014-01-29,52.44
2014-01-30,56.58
2014-01-31,69.0
2014-02-01,63.48
2014-02-02,39.33
2014-02-03,58.65
2014-02-04,62.099999999999994
2014-02-05,57.269999999999996
2014-02-06,54.51
2014-02-07,68.30999999999999
2014-02-08,57.269999999999996
2014-02-09,40.709999999999994
2014-02-10,57.959999999999994
2014-02-11,58.65
2014-02-12,58.65
2014-02-13,53.81999999999999
2014-02-14,66.92999999999999
2014-02-15,57.959999999999994
2014-02-16,41.4
2014-02-17,53.81999999999999
2014-02-18,59.339999999999996
2014-02-19,62.099999999999994
2014-02-20,55.199999999999996
2014-02-21,62.099999999999994
2014-02-22,55.199999999999996
2014-02-23,39.33
2014-02-24,56.58
2014-02-25,58.65
2014-02-26,56.58
2014-02-27,56.58
2014-02-28,69.0
2014-03-01,64.99000000000001
2014-03-02,43.550000000000004
2014-03-03,59.63
2014-03-04,60.970000000000006
2014-03-05,60.970000000000006
2014-03-06,58.290000000000006
2014-03-07,64.99000000000001
2014-03-08,55.61000000000001
2014-03-09,38.190000000000005
2014-03-10,58.290000000000006
2014-03-11,55.61000000000001
2014-03-12,55.61000000000001
