date,EDD
2013-04-21,13.8
2013-04-22,19.55
2013-04-23,18.86
2013-04-24,18.630000000000003
2013-04-25,17.02
2013-04-26,17.71
2013-04-27,13.110000000000001
2013-04-28,15.41
2013-04-29,21.16
2013-04-30,22.080000000000002
2013-05-01,15.62
2013-05-02,15.84
2013-05-03,17.16
2013-05-04,12.1
2013-05-05,15.84
2013-05-06,20.46
2013-05-07,21.34
2013-05-08,16.28
2013-05-09,15.4
2013-05-10,15.62
2013-05-11,11.44
2013-05-12,13.42
2013-05-13,21.12
2013-05-14,21.34
2013-05-15,18.48
2013-05-16,19.36
2013-05-17,17.6
2013-05-18,13.64
2013-05-19,13.86
2013-05-20,19.36
2013-05-21,19.580000000000002
2013-05-22,18.04
2013-05-23,16.94
2013-05-24,17.38
2013-05-25,11.22
2013-05-26,14.3
2013-05-27,16.94
2013-05-28,22.0
2013-05-29,20.9
2013-05-30,19.14
2013-05-31,17.16
2013-06-01,14.52
2013-06-02,15.18
2013-06-03,18.7
2013-06-04,20.46
2013-06-05,18.26
2013-06-06,17.6
2013-06-07,16.28
2013-06-08,12.540000000000001
2013-06-09,14.52
2013-06-10,22.0
2013-06-11,18.48
2013-06-12,16.94
2013-06-13,15.62
2013-06-14,18.7
2013-06-15,12.98
2013-06-16,15.84
2013-06-17,19.14
2013-06-18,21.12
2013-06-19,18.26
2013-06-20,16.5
2013-06-21,18.92
2013-06-22,13.64
2013-06-23,14.08
2013-06-24,20.68
2013-06-25,19.14
2013-06-26,19.580000000000002
2013-06-27,17.82
2013-06-28,16.94
2013-06-29,12.32
2013-06-30,15.18
2013-07-01,20.25
2013-07-02,21.25
2013-07-03,19.75
2013-07-04,13.5
2013-07-05,15.5
2013-07-06,10.75
2013-07-07,15.25
2013-07-08,19.75
2013-07-09,21.5
2013-07-10,15.5
2013-07-11,17.0
2013-07-12,18.0
2013-07-13,13.25
2013-07-14,14.5
2013-07-15,20.0
2013-07-16,21.25
2013-07-17,17.25
2013-07-18,16.75
2013-07-19,17.5
2013-07-20,14.0
2013-07-21,13.75
2013-07-22,19.5
2013-07-23,21.5
2013-07-24,20.75
2013-07-25,18.5
2013-07-26,16.5
2013-07-27,12.25
2013-07-28,16.75
2013-07-29,18.25
2013-07-30,25.0
2013-07-31,24.0
2013-08-01,22.0
2013-08-02,18.26
2013-08-03,13.64
2013-08-04,15.18
2013-08-05,18.7
2013-08-06,20.46
2013-08-07,16.94
2013-08-08,15.84
2013-08-09,15.4
