date,Oracle
2013-04-01,58.32000000000001
2013-04-02,69.66000000000001
2013-04-03,70.47
2013-04-04,73.71000000000001
2013-04-05,66.42
2013-04-06,28.35
2013-04-07,25.110000000000003
2013-04-08,72.09
2013-04-09,72.9
2013-04-10,72.9
2013-04-11,64.80000000000001
2013-04-12,60.75000000000001
2013-04-13,24.3
2013-04-14,23.490000000000002
2013-04-15,62.370000000000005
2013-04-16,69.66000000000001
2013-04-17,81.0
2013-04-18,67.23
2013-04-19,63.99
2013-04-20,24.3
2013-04-21,25.110000000000003
2013-04-22,68.85000000000001
2013-04-23,68.85000000000001
2013-04-24,72.9
2013-04-25,73.71000000000001
2013-04-26,67.23
2013-04-27,25.110000000000003
2013-04-28,25.92
2013-04-29,63.99
2013-04-30,70.47
2013-05-01,73.32000000000001
2013-05-02,78.0
2013-05-03,71.76
2013-05-04,26.52
2013-05-05,26.52
2013-05-06,68.64
2013-05-07,74.88
2013-05-08,76.44
2013-05-09,75.66
2013-05-10,67.86
2013-05-11,28.86
2013-05-12,28.080000000000002
2013-05-13,69.42
2013-05-14,67.86
2013-05-15,74.88
2013-05-16,71.76
2013-05-17,66.3
2013-05-18,25.740000000000002
2013-05-19,26.52
2013-05-20,67.08
2013-05-21,73.32000000000001
2013-05-22,70.98
2013-05-23,70.2
2013-05-24,57.72
2013-05-25,21.84
2013-05-26,25.740000000000002
2013-05-27,30.42
2013-05-28,64.74000000000001
2013-05-29,69.42
2013-05-30,77.22
2013-05-31,71.76
2013-06-01,28.080000000000002
2013-06-02,26.52
2013-06-03,67.86
2013-06-04,74.88
2013-06-05,63.96
2013-06-06,70.2
2013-06-07,67.08
2013-06-08,28.080000000000002
2013-06-09,28.86
2013-06-10,61.620000000000005
2013-06-11,65.52
2013-06-12,74.88
2013-06-13,68.64
2013-06-14,62.400000000000006
2013-06-15,28.080000000000002
2013-06-16,25.740000000000002
2013-06-17,64.74000000000001
2013-06-18,71.76
2013-06-19,74.10000000000001
2013-06-20,69.42
2013-06-21,67.08
2013-06-22,28.080000000000002
2013-06-23,28.080000000000002
2013-06-24,68.64
2013-06-25,78.0
2013-06-26,71.76
2013-06-27,72.54
2013-06-28,58.5
2013-06-29,24.96
2013-06-30,24.18
2013-07-01,67.76
2013-07-02,70.07000000000001
2013-07-03,65.45
2013-07-04,33.88
2013-07-05,45.43
2013-07-06,21.560000000000002
2013-07-07,19.25
2013-07-08,65.45
2013-07-09,71.61
2013-07-10,76.23
2013-07-11,74.69
2013-07-12,67.76
2013-07-13,23.87
2013-07-14,23.1
2013-07-15,64.68
2013-07-16,74.69
2013-07-17,71.61
2013-07-18,70.84
2013-07-19,68.53
2013-07-20,24.64
2013-07-21,19.25
2013-07-22,65.45
2013-07-23,73.15
2013-07-24,72.38
2013-07-25,66.99
2013-07-26,66.22
2013-07-27,25.41
2013-07-28,26.95
2013-07-29,70.84
2013-07-30,75.46000000000001
2013-07-31,77.0
2013-08-01,72.68
2013-08-02,63.99
2013-08-03,23.700000000000003
2013-08-04,22.12
2013-08-05,60.040000000000006
2013-08-06,70.31
2013-08-07,67.15
2013-08-08,66.36
2013-08-09,56.88
2013-08-10,22.91
2013-08-11,21.330000000000002
2013-08-12,66.36
2013-08-13,79.0
2013-08-14,77.42
2013-08-15,70.31
2013-08-16,67.94
2013-08-17,26.07
2013-08-18,26.07
2013-08-19,69.52000000000001
2013-08-20,67.94
2013-08-21,71.10000000000001
2013-08-22,67.15
2013-08-23,60.830000000000005
2013-08-24,28.44
2013-08-25,26.07
2013-08-26,65.57000000000001
2013-08-27,71.89
2013-08-28,70.31
2013-08-29,73.47
2013-08-30,58.46
2013-08-31,22.12
2013-09-01,14.94
2013-09-02,21.58
2013-09-03,48.14
2013-09-04,55.61
2013-09-05,53.949999999999996
2013-09-06,45.65
2013-09-07,23.24
2013-09-08,21.58
2013-09-09,51.46
2013-09-10,56.44
2013-09-11,53.949999999999996
2013-09-12,53.12
2013-09-13,49.8
2013-09-14,22.41
2013-09-15,20.75
2013-09-16,49.8
2013-09-17,53.949999999999996
2013-09-18,57.269999999999996
2013-09-19,56.44
2013-09-20,52.29
2013-09-21,19.919999999999998
2013-09-22,23.24
2013-09-23,62.25
2013-09-24,66.39999999999999
2013-09-25,83.0
2013-09-26,80.50999999999999
2013-09-27,58.93
2013-09-28,23.24
2013-09-29,19.919999999999998
2013-09-30,53.949999999999996
2013-10-01,73.60000000000001
2013-10-02,74.4
2013-10-03,75.2
2013-10-04,66.4
2013-10-05,24.8
2013-10-06,27.200000000000003
2013-10-07,68.8
2013-10-08,79.2
2013-10-09,80.0
2013-10-10,75.2
2013-10-11,58.400000000000006
2013-10-12,27.200000000000003
2013-10-13,24.0
2013-10-14,56.0
2013-10-15,71.2
2013-10-16,72.8
2013-10-17,72.0
2013-10-18,64.0
2013-10-19,25.6
2013-10-20,23.200000000000003
2013-10-21,65.60000000000001
2013-10-22,73.60000000000001
2013-10-23,76.80000000000001
2013-10-24,69.60000000000001
2013-10-25,64.8
2013-10-26,24.8
2013-10-27,24.8
2013-10-28,62.400000000000006
2013-10-29,74.4
2013-10-30,67.2
2013-10-31,71.2
2013-11-01,55.379999999999995
2013-11-02,22.72
2013-11-03,23.43
2013-11-04,58.93
2013-11-05,68.86999999999999
2013-11-06,62.48
2013-11-07,66.03
2013-11-08,57.51
2013-11-09,20.59
2013-11-10,22.72
2013-11-11,58.22
2013-11-12,61.059999999999995
2013-11-13,59.64
2013-11-14,66.74
2013-11-15,61.769999999999996
2013-11-16,23.43
2013-11-17,26.979999999999997
2013-11-18,57.51
2013-11-19,71.0
2013-11-20,62.48
2013-11-21,65.32
2013-11-22,61.769999999999996
2013-11-23,22.009999999999998
2013-11-24,22.72
2013-11-25,51.12
2013-11-26,59.64
2013-11-27,46.15
2013-11-28,25.56
2013-11-29,24.849999999999998
2013-11-30,19.169999999999998
2013-12-01,18.27
2013-12-02,45.99
2013-12-03,63.0
2013-12-04,59.22
2013-12-05,61.11
2013-12-06,54.18
2013-12-07,23.31
2013-12-08,22.05
2013-12-09,52.92
2013-12-10,59.85
2013-12-11,62.37
2013-12-12,57.33
2013-12-13,56.7
2013-12-14,22.68
2013-12-15,20.16
2013-12-16,58.59
2013-12-17,54.81
2013-12-18,52.92
2013-12-19,58.59
2013-12-20,54.81
2013-12-21,22.05
2013-12-22,20.16
2013-12-23,38.43
2013-12-24,26.46
2013-12-25,17.64
2013-12-26,34.65
2013-12-27,36.54
2013-12-28,20.16
2013-12-29,17.01
2013-12-30,38.43
2013-12-31,37.8
2014-01-01,20.439999999999998
2014-01-02,45.99
2014-01-03,47.449999999999996
2014-01-04,20.439999999999998
2014-01-05,17.52
2014-01-06,55.48
2014-01-07,60.589999999999996
2014-01-08,59.86
2014-01-09,70.08
2014-01-10,64.24
2014-01-11,23.36
2014-01-12,21.9
2014-01-13,59.86
2014-01-14,68.62
2014-01-15,69.35
2014-01-16,73.0
2014-01-17,64.24
2014-01-18,24.82
2014-01-19,23.36
2014-01-20,43.8
2014-01-21,62.78
2014-01-22,71.53999999999999
2014-01-23,72.27
2014-01-24,62.78
2014-01-25,26.28
2014-01-26,25.55
2014-01-27,62.78
2014-01-28,64.97
2014-01-29,71.53999999999999
2014-01-30,70.81
2014-01-31,60.589999999999996
2014-02-01,23.68
2014-02-02,22.2
2014-02-03,57.72
2014-02-04,62.9
2014-02-05,67.34
2014-02-06,62.16
2014-02-07,65.86
2014-02-08,25.16
2014-02-09,24.419999999999998
2014-02-10,66.6
2014-02-11,71.78
2014-02-12,67.34
2014-02-13,67.34
2014-02-14,58.46
2014-02-15,20.72
2014-02-16,23.68
2014-02-17,48.839999999999996
2014-02-18,62.16
2014-02-19,69.56
2014-02-20,69.56
2014-02-21,59.94
2014-02-22,25.9
2014-02-23,22.94
2014-02-24,62.9
2014-02-25,74.0
2014-02-26,67.34
2014-02-27,62.9
2014-02-28,58.46
2014-03-01,27.0
2014-03-02,24.0
2014-03-03,55.5
2014-03-04,63.0
2014-03-05,69.0
2014-03-06,65.25
2014-03-07,63.0
2014-03-08,24.75
2014-03-09,24.75
2014-03-10,67.5
2014-03-11,67.5
2014-03-12,72.75
2014-03-13,72.0
2014-03-14,63.0
2014-03-15,25.5
2014-03-16,24.0
2014-03-17,59.25
2014-03-18,72.0
