date,Comcast
2013-08-23,83.72
2013-08-24,74.52000000000001
2013-08-25,68.08
2013-08-26,76.36
2013-08-27,70.84
2013-08-28,73.60000000000001
2013-08-29,74.52000000000001
2013-08-30,89.24000000000001
2013-08-31,92.0
2013-09-01,71.89
2013-09-02,67.34
2013-09-03,83.72
2013-09-04,79.17
2013-09-05,77.35000000000001
2013-09-06,79.17
2013-09-07,91.0
2013-09-08,83.72
2013-09-09,76.44
2013-09-10,75.53
2013-09-11,67.34
2013-09-12,72.8
2013-09-13,77.35000000000001
2013-09-14,89.18
2013-09-15,82.81
2013-09-16,74.62
2013-09-17,68.25
2013-09-18,69.16
2013-09-19,65.52
2013-09-20,69.16
2013-09-21,71.89
2013-09-22,70.98
2013-09-23,69.16
2013-09-24,65.52
2013-09-25,68.25
2013-09-26,68.25
2013-09-27,69.16
2013-09-28,74.62
2013-09-29,70.07000000000001
2013-09-30,77.35000000000001
2013-10-01,73.87
2013-10-02,72.98
2013-10-03,71.2
2013-10-04,75.65
2013-10-05,88.11
2013-10-06,75.65
2013-10-07,72.98
2013-10-08,70.31
2013-10-09,66.75
2013-10-10,69.42
2013-10-11,72.09
2013-10-12,76.54
2013-10-13,67.64
2013-10-14,73.87
2013-10-15,70.31
2013-10-16,67.64
2013-10-17,69.42
2013-10-18,69.42
2013-10-19,74.76
2013-10-20,71.2
2013-10-21,75.65
2013-10-22,71.2
2013-10-23,72.98
2013-10-24,73.87
2013-10-25,75.65
2013-10-26,89.0
2013-10-27,70.31
2013-10-28,78.32000000000001
2013-10-29,75.65
2013-10-30,74.76
2013-10-31,73.87
2013-11-01,88.2
2013-11-02,90.0
2013-11-03,77.4
2013-11-04,82.8
2013-11-05,78.3
2013-11-06,73.8
2013-11-07,78.3
2013-11-08,84.60000000000001
2013-11-09,89.10000000000001
2013-11-10,77.4
2013-11-11,76.5
2013-11-12,75.60000000000001
2013-11-13,81.9
2013-11-14,75.60000000000001
2013-11-15,80.10000000000001
2013-11-16,85.5
2013-11-17,73.8
2013-11-18,81.9
2013-11-19,77.4
2013-11-20,72.9
2013-11-21,73.8
2013-11-22,79.2
2013-11-23,86.4
2013-11-24,75.60000000000001
2013-11-25,74.7
2013-11-26,78.3
2013-11-27,74.7
2013-11-28,63.0
2013-11-29,79.2
2013-11-30,89.10000000000001
2013-12-01,78.26
2013-12-02,81.9
2013-12-03,84.63000000000001
2013-12-04,82.81
2013-12-05,78.26
2013-12-06,77.35000000000001
2013-12-07,86.45
2013-12-08,70.98
2013-12-09,78.26
2013-12-10,76.44
2013-12-11,78.26
2013-12-12,74.62
2013-12-13,77.35000000000001
2013-12-14,80.99000000000001
2013-12-15,71.89
2013-12-16,79.17
2013-12-17,77.35000000000001
2013-12-18,71.89
2013-12-19,73.71000000000001
2013-12-20,77.35000000000001
2013-12-21,78.26
2013-12-22,74.62
2013-12-23,78.26
2013-12-24,74.62
2013-12-25,72.8
2013-12-26,90.09
2013-12-27,91.0
2013-12-28,86.45
2013-12-29,78.26
2013-12-30,88.27
2013-12-31,88.27
2014-01-01,77.08
2014-01-02,89.3
2014-01-03,94.0
2014-01-04,88.36
2014-01-05,78.02
2014-01-06,89.3
2014-01-07,87.42
2014-01-08,78.96
2014-01-09,78.02
2014-01-10,81.78
2014-01-11,86.47999999999999
2014-01-12,72.38
2014-01-13,77.08
2014-01-14,79.89999999999999
2014-01-15,84.6
2014-01-16,83.66
2014-01-17,81.78
2014-01-18,85.53999999999999
2014-01-19,78.02
2014-01-20,76.14
2014-01-21,78.02
2014-01-22,78.02
2014-01-23,74.25999999999999
2014-01-24,74.25999999999999
2014-01-25,79.89999999999999
2014-01-26,69.56
2014-01-27,79.89999999999999
2014-01-28,75.19999999999999
2014-01-29,78.02
2014-01-30,72.38
2014-01-31,78.02
2014-02-01,62.04
2014-02-02,61.099999999999994
2014-02-03,56.4
2014-02-04,57.339999999999996
2014-02-05,59.22
2014-02-06,53.58
2014-02-07,58.279999999999994
2014-02-08,62.98
2014-02-09,54.519999999999996
2014-02-10,60.16
2014-02-11,55.459999999999994
2014-02-12,56.4
2014-02-13,94.0
2014-02-14,73.32
2014-02-15,71.44
2014-02-16,62.04
2014-02-17,65.8
2014-02-18,62.98
2014-02-19,62.04
2014-02-20,58.279999999999994
2014-02-21,62.98
2014-02-22,61.099999999999994
2014-02-23,56.4
2014-02-24,70.5
2014-02-25,63.919999999999995
2014-02-26,62.04
2014-02-27,58.279999999999994
2014-02-28,65.8
2014-03-01,90.0
2014-03-02,81.0
2014-03-03,86.4
2014-03-04,85.5
2014-03-05,82.8
2014-03-06,80.10000000000001
2014-03-07,83.7
2014-03-08,81.0
2014-03-09,76.5
2014-03-10,81.0
2014-03-11,81.9
2014-03-12,80.10000000000001
2014-03-13,81.9
2014-03-14,84.60000000000001
2014-03-15,82.8
2014-03-16,75.60000000000001
2014-03-17,81.9
