date,Intel
2012-09-14,71.0
2012-09-15,54.669999999999995
2012-09-16,46.15
2012-09-17,52.54
2012-09-18,57.51
2012-09-19,56.8
2012-09-20,57.51
2012-09-21,57.51
2012-09-22,44.73
2012-09-23,46.86
2012-09-24,53.959999999999994
2012-09-25,53.959999999999994
2012-09-26,61.059999999999995
2012-09-27,60.349999999999994
2012-09-28,56.089999999999996
2012-09-29,51.12
2012-09-30,48.28
2012-10-01,55.199999999999996
2012-10-02,57.269999999999996
2012-10-03,62.099999999999994
2012-10-04,56.58
2012-10-05,57.959999999999994
2012-10-06,47.61
2012-10-07,49.67999999999999
2012-10-08,57.959999999999994
2012-10-09,55.199999999999996
2012-10-10,61.41
2012-10-11,56.58
2012-10-12,55.88999999999999
2012-10-13,50.37
2012-10-14,48.3
2012-10-15,54.51
2012-10-16,62.78999999999999
2012-10-17,59.339999999999996
2012-10-18,55.199999999999996
2012-10-19,56.58
2012-10-20,48.989999999999995
2012-10-21,50.37
2012-10-22,55.88999999999999
2012-10-23,60.029999999999994
2012-10-24,62.78999999999999
2012-10-25,57.269999999999996
2012-10-26,63.48
2012-10-27,66.24
2012-10-28,66.92999999999999
2012-10-29,69.0
2012-10-30,62.78999999999999
2012-10-31,62.099999999999994
2012-11-01,50.629999999999995
2012-11-02,56.44
2012-11-03,53.949999999999996
2012-11-04,46.48
2012-11-05,51.46
2012-11-06,46.48
2012-11-07,47.309999999999995
2012-11-08,50.629999999999995
2012-11-09,55.61
2012-11-10,46.48
2012-11-11,45.65
2012-11-12,53.12
2012-11-13,53.949999999999996
2012-11-14,49.8
2012-11-15,52.29
2012-11-16,52.29
2012-11-17,50.629999999999995
2012-11-18,51.46
2012-11-19,59.76
2012-11-20,60.589999999999996
2012-11-21,62.25
2012-11-22,72.21
2012-11-23,83.0
2012-11-24,68.06
2012-11-25,59.76
2012-11-26,68.06
2012-11-27,61.419999999999995
2012-11-28,54.779999999999994
2012-11-29,53.949999999999996
2012-11-30,53.12
2012-12-01,64.08
2012-12-02,64.8
2012-12-03,67.67999999999999
2012-12-04,56.16
2012-12-05,61.199999999999996
2012-12-06,64.8
2012-12-07,63.36
2012-12-08,65.52
2012-12-09,56.16
2012-12-10,59.76
2012-12-11,65.52
2012-12-12,64.08
2012-12-13,58.32
2012-12-14,54.0
2012-12-15,55.44
2012-12-16,58.32
2012-12-17,64.08
2012-12-18,59.04
2012-12-19,59.04
2012-12-20,60.48
2012-12-21,63.36
2012-12-22,59.04
2012-12-23,54.0
2012-12-24,58.32
2012-12-25,60.48
2012-12-26,66.24
2012-12-27,72.0
2012-12-28,65.52
2012-12-29,61.919999999999995
2012-12-30,53.28
2012-12-31,50.4
2013-01-01,56.8
2013-01-02,66.74
2013-01-03,63.9
2013-01-04,63.19
2013-01-05,57.51
2013-01-06,59.64
2013-01-07,59.64
2013-01-08,70.28999999999999
2013-01-09,70.28999999999999
2013-01-10,71.0
2013-01-11,66.03
2013-01-12,58.22
2013-01-13,60.349999999999994
2013-01-14,55.379999999999995
2013-01-15,62.48
2013-01-16,61.769999999999996
2013-01-17,68.16
2013-01-18,66.74
2013-01-19,66.03
2013-01-20,54.669999999999995
2013-01-21,61.769999999999996
2013-01-22,62.48
2013-01-23,65.32
2013-01-24,67.45
2013-01-25,63.9
2013-01-26,59.64
2013-01-27,64.61
2013-01-28,63.19
2013-01-29,63.19
2013-01-30,58.93
2013-01-31,61.059999999999995
2013-02-01,61.769999999999996
2013-02-02,55.379999999999995
2013-02-03,53.25
2013-02-04,51.83
2013-02-05,60.349999999999994
2013-02-06,71.0
2013-02-07,60.349999999999994
2013-02-08,55.379999999999995
2013-02-09,56.8
2013-02-10,56.8
2013-02-11,61.769999999999996
2013-02-12,58.93
2013-02-13,61.059999999999995
2013-02-14,56.089999999999996
2013-02-15,63.9
2013-02-16,60.349999999999994
2013-02-17,53.959999999999994
2013-02-18,58.22
2013-02-19,59.64
2013-02-20,63.19
2013-02-21,58.22
2013-02-22,63.9
2013-02-23,56.8
2013-02-24,56.089999999999996
2013-02-25,55.379999999999995
2013-02-26,60.349999999999994
2013-02-27,62.48
2013-02-28,63.19
2013-03-01,64.32000000000001
2013-03-02,56.28
2013-03-03,59.63
2013-03-04,62.980000000000004
2013-03-05,63.650000000000006
2013-03-06,61.64
2013-03-07,67.0
2013-03-08,60.300000000000004
2013-03-09,60.970000000000006
2013-03-10,54.27
2013-03-11,55.61000000000001
2013-03-12,64.99000000000001
2013-03-13,59.63
2013-03-14,63.650000000000006
2013-03-15,62.31
2013-03-16,52.93
2013-03-17,52.93
2013-03-18,60.970000000000006
2013-03-19,60.970000000000006
2013-03-20,63.650000000000006
2013-03-21,60.970000000000006
2013-03-22,60.970000000000006
2013-03-23,56.28
2013-03-24,58.96
2013-03-25,58.290000000000006
2013-03-26,60.970000000000006
2013-03-27,62.980000000000004
2013-03-28,62.980000000000004
2013-03-29,59.63
2013-03-30,59.63
2013-03-31,50.25
2013-04-01,52.480000000000004
2013-04-02,56.96
2013-04-03,56.32
2013-04-04,60.160000000000004
2013-04-05,54.4
