date,UnitedHealth Group
2012-11-14,24.91
2012-11-15,30.08
2012-11-16,36.19
2012-11-17,24.91
2012-11-18,12.219999999999999
2012-11-19,24.91
2012-11-20,9.87
2012-11-21,21.15
2012-11-22,12.69
2012-11-23,35.25
2012-11-24,0.0
2012-11-25,11.75
2012-11-26,28.2
2012-11-27,47.0
2012-11-28,38.07
2012-11-29,18.799999999999997
2012-11-30,24.439999999999998
2012-12-01,20.46
2012-12-02,26.66
2012-12-03,27.28
2012-12-04,42.78
2012-12-05,59.519999999999996
2012-12-06,44.64
2012-12-07,22.94
2012-12-08,20.46
2012-12-09,32.86
2012-12-10,32.24
2012-12-11,54.56
2012-12-12,33.48
2012-12-13,44.64
2012-12-14,28.52
2012-12-15,13.64
2012-12-16,27.28
2012-12-17,50.22
2012-12-18,39.06
2012-12-19,11.16
2012-12-20,40.92
2012-12-21,18.6
2012-12-22,29.14
2012-12-23,14.879999999999999
2012-12-24,14.26
2012-12-25,16.12
2012-12-26,32.24
2012-12-27,42.16
2012-12-28,31.0
2012-12-29,40.92
2012-12-30,13.64
2012-12-31,62.0
2013-01-01,57.0
2013-01-02,15.0
2013-01-03,15.0
2013-01-04,75.0
2013-01-05,69.0
2013-01-06,86.0
2013-01-07,87.0
2013-01-08,57.0
2013-01-09,87.0
2013-01-10,29.0
2013-01-11,74.0
2013-01-12,34.0
2013-01-13,84.0
2013-01-14,100.0
2013-01-15,56.0
2013-01-16,85.0
2013-01-17,71.0
2013-01-18,73.0
2013-01-19,52.0
2013-01-20,17.0
2013-01-21,29.0
2013-01-22,56.0
2013-01-23,28.0
2013-01-24,56.0
2013-01-25,29.0
2013-01-26,83.0
2013-01-27,17.0
2013-01-28,55.0
2013-01-29,41.0
2013-01-30,14.0
2013-01-31,69.0
2013-02-01,42.120000000000005
2013-02-02,21.060000000000002
2013-02-03,28.35
2013-02-04,17.82
2013-02-05,34.830000000000005
2013-02-06,29.160000000000004
2013-02-07,59.13
2013-02-08,47.790000000000006
2013-02-09,42.93
2013-02-10,28.35
2013-02-11,45.36
2013-02-12,63.99
2013-02-13,81.0
2013-02-14,24.3
2013-02-15,62.370000000000005
2013-02-16,57.510000000000005
2013-02-17,36.45
2013-02-18,54.27
2013-02-19,74.52000000000001
2013-02-20,52.650000000000006
2013-02-21,58.32000000000001
2013-02-22,36.45
2013-02-23,42.120000000000005
2013-02-24,28.35
2013-02-25,39.690000000000005
2013-02-26,51.03
2013-02-27,73.71000000000001
2013-02-28,52.650000000000006
2013-03-01,30.36
2013-03-02,11.729999999999999
2013-03-03,48.3
2013-03-04,69.0
2013-03-05,43.47
2013-03-06,48.3
2013-03-07,64.86
2013-03-08,35.19
2013-03-09,24.15
2013-03-10,11.729999999999999
2013-03-11,44.16
2013-03-12,39.33
2013-03-13,28.979999999999997
2013-03-14,34.5
2013-03-15,36.57
2013-03-16,60.72
2013-03-17,0.0
2013-03-18,44.16
2013-03-19,48.3
2013-03-20,34.5
2013-03-21,44.849999999999994
2013-03-22,25.529999999999998
2013-03-23,24.15
2013-03-24,17.939999999999998
2013-03-25,34.5
2013-03-26,49.67999999999999
2013-03-27,60.72
2013-03-28,41.4
2013-03-29,27.599999999999998
2013-03-30,31.74
2013-03-31,26.22
2013-04-01,51.68000000000001
2013-04-02,67.32000000000001
2013-04-03,31.28
2013-04-04,68.0
2013-04-05,43.52
2013-04-06,12.920000000000002
2013-04-07,12.920000000000002
2013-04-08,51.00000000000001
2013-04-09,40.800000000000004
2013-04-10,30.6
2013-04-11,61.88
2013-04-12,21.080000000000002
2013-04-13,12.920000000000002
2013-04-14,19.040000000000003
2013-04-15,59.84
2013-04-16,50.32
2013-04-17,51.68000000000001
2013-04-18,20.400000000000002
2013-04-19,26.520000000000003
2013-04-20,0.0
2013-04-21,39.440000000000005
2013-04-22,52.36000000000001
2013-04-23,25.840000000000003
2013-04-24,40.800000000000004
2013-04-25,42.160000000000004
2013-04-26,38.080000000000005
2013-04-27,26.520000000000003
2013-04-28,19.720000000000002
2013-04-29,56.440000000000005
2013-04-30,30.6
2013-05-01,12.54
2013-05-02,30.209999999999997
2013-05-03,22.229999999999997
2013-05-04,10.829999999999998
2013-05-05,16.529999999999998
2013-05-06,34.199999999999996
2013-05-07,8.549999999999999
2013-05-08,34.199999999999996
2013-05-09,34.199999999999996
2013-05-10,13.68
2013-05-11,10.829999999999998
2013-05-12,0.0
2013-05-13,26.22
2013-05-14,47.309999999999995
2013-05-15,17.099999999999998
2013-05-16,17.669999999999998
2013-05-17,31.919999999999998
2013-05-18,22.229999999999997
2013-05-19,21.09
2013-05-20,25.65
2013-05-21,16.529999999999998
2013-05-22,47.879999999999995
2013-05-23,56.99999999999999
2013-05-24,9.12
2013-05-25,22.799999999999997
2013-05-26,0.0
2013-05-27,10.829999999999998
2013-05-28,17.099999999999998
2013-05-29,43.31999999999999
2013-05-30,26.79
2013-05-31,31.919999999999998
2013-06-01,31.11
2013-06-02,0.0
2013-06-03,28.669999999999998
2013-06-04,7.93
2013-06-05,25.009999999999998
2013-06-06,37.21
2013-06-07,33.55
2013-06-08,31.72
2013-06-09,15.86
2013-06-10,24.4
