date,Microsoft
2013-04-01,67.19999999999999
2013-04-02,66.5
2013-04-03,69.3
2013-04-04,67.89999999999999
2013-04-05,63.699999999999996
2013-04-06,47.599999999999994
2013-04-07,51.099999999999994
2013-04-08,66.5
2013-04-09,66.5
2013-04-10,67.89999999999999
2013-04-11,70.0
2013-04-12,63.699999999999996
2013-04-13,51.099999999999994
2013-04-14,50.4
2013-04-15,61.599999999999994
2013-04-16,65.1
2013-04-17,67.89999999999999
2013-04-18,64.39999999999999
2013-04-19,59.49999999999999
2013-04-20,45.5
2013-04-21,49.0
2013-04-22,65.1
2013-04-23,70.0
2013-04-24,67.89999999999999
2013-04-25,66.5
2013-04-26,60.9
2013-04-27,46.9
2013-04-28,46.9
2013-04-29,63.699999999999996
2013-04-30,67.89999999999999
2013-05-01,57.269999999999996
2013-05-02,55.88999999999999
2013-05-03,51.74999999999999
2013-05-04,37.26
2013-05-05,40.019999999999996
2013-05-06,53.81999999999999
2013-05-07,57.959999999999994
2013-05-08,55.88999999999999
2013-05-09,55.199999999999996
2013-05-10,50.37
2013-05-11,37.26
2013-05-12,39.33
2013-05-13,53.81999999999999
2013-05-14,56.58
2013-05-15,57.269999999999996
2013-05-16,55.88999999999999
2013-05-17,53.129999999999995
2013-05-18,40.019999999999996
2013-05-19,38.64
2013-05-20,56.58
2013-05-21,69.0
2013-05-22,62.099999999999994
2013-05-23,56.58
2013-05-24,49.67999999999999
2013-05-25,38.64
2013-05-26,39.33
2013-05-27,42.089999999999996
2013-05-28,53.129999999999995
2013-05-29,55.88999999999999
2013-05-30,53.81999999999999
2013-05-31,53.129999999999995
2013-06-01,36.18
2013-06-02,36.85
2013-06-03,52.260000000000005
2013-06-04,55.61000000000001
2013-06-05,57.620000000000005
2013-06-06,54.940000000000005
2013-06-07,52.260000000000005
2013-06-08,36.85
2013-06-09,38.86
2013-06-10,61.64
2013-06-11,67.0
2013-06-12,57.620000000000005
2013-06-13,55.61000000000001
2013-06-14,51.59
2013-06-15,40.2
2013-06-16,38.190000000000005
2013-06-17,53.6
2013-06-18,56.28
2013-06-19,56.95
2013-06-20,57.620000000000005
2013-06-21,49.580000000000005
2013-06-22,37.52
2013-06-23,37.52
2013-06-24,50.92
2013-06-25,52.93
2013-06-26,53.6
2013-06-27,53.6
2013-06-28,48.24
2013-06-29,38.190000000000005
2013-06-30,36.85
2013-07-01,55.68
2013-07-02,58.88
2013-07-03,55.04
2013-07-04,40.32
