date,Verizon
2012-11-19,55.080000000000005
2012-11-20,53.720000000000006
2012-11-21,56.440000000000005
2012-11-22,53.720000000000006
2012-11-23,68.0
2012-11-24,58.480000000000004
2012-11-25,53.720000000000006
2012-11-26,59.160000000000004
2012-11-27,54.400000000000006
2012-11-28,50.32
2012-11-29,48.96
2012-11-30,52.36000000000001
2012-12-01,54.27
2012-12-02,51.59
2012-12-03,54.940000000000005
2012-12-04,53.6
2012-12-05,54.27
2012-12-06,50.92
2012-12-07,51.59
2012-12-08,52.260000000000005
2012-12-09,49.580000000000005
2012-12-10,51.59
2012-12-11,50.25
2012-12-12,51.59
2012-12-13,51.59
2012-12-14,52.93
2012-12-15,52.93
2012-12-16,52.260000000000005
2012-12-17,53.6
2012-12-18,52.93
2012-12-19,52.93
2012-12-20,54.27
2012-12-21,54.27
2012-12-22,54.940000000000005
2012-12-23,51.59
2012-12-24,49.580000000000005
2012-12-25,58.290000000000006
2012-12-26,67.0
2012-12-27,63.650000000000006
2012-12-28,60.970000000000006
2012-12-29,57.620000000000005
2012-12-30,51.59
2012-12-31,52.93
2013-01-01,48.97
2013-01-02,56.05
2013-01-03,56.64
2013-01-04,59.0
2013-01-05,50.739999999999995
2013-01-06,45.43
2013-01-07,50.15
2013-01-08,50.15
2013-01-09,49.559999999999995
2013-01-10,50.15
2013-01-11,50.739999999999995
2013-01-12,46.019999999999996
2013-01-13,43.66
2013-01-14,49.559999999999995
2013-01-15,46.61
2013-01-16,47.199999999999996
2013-01-17,46.019999999999996
2013-01-18,48.379999999999995
2013-01-19,48.97
2013-01-20,41.89
2013-01-21,44.25
2013-01-22,47.199999999999996
2013-01-23,44.25
2013-01-24,44.25
2013-01-25,46.61
2013-01-26,45.43
2013-01-27,44.25
2013-01-28,44.25
2013-01-29,45.43
2013-01-30,43.07
2013-01-31,46.61
2013-02-01,54.32000000000001
2013-02-02,50.96000000000001
2013-02-03,48.160000000000004
2013-02-04,49.84
2013-02-05,49.84
2013-02-06,48.720000000000006
2013-02-07,49.28
2013-02-08,50.96000000000001
2013-02-09,49.28
2013-02-10,49.28
2013-02-11,47.6
2013-02-12,52.080000000000005
2013-02-13,46.480000000000004
2013-02-14,48.720000000000006
2013-02-15,56.00000000000001
2013-02-16,50.400000000000006
2013-02-17,49.84
2013-02-18,52.080000000000005
2013-02-19,50.96000000000001
2013-02-20,50.96000000000001
2013-02-21,50.400000000000006
2013-02-22,49.84
2013-02-23,49.84
2013-02-24,44.24
2013-02-25,46.480000000000004
2013-02-26,49.28
2013-02-27,52.080000000000005
2013-02-28,50.96000000000001
2013-03-01,54.32000000000001
2013-03-02,52.64000000000001
2013-03-03,51.52
2013-03-04,49.28
2013-03-05,48.160000000000004
2013-03-06,48.720000000000006
2013-03-07,48.160000000000004
2013-03-08,49.84
2013-03-09,49.28
2013-03-10,48.160000000000004
2013-03-11,48.160000000000004
2013-03-12,49.84
2013-03-13,49.28
2013-03-14,50.400000000000006
2013-03-15,56.00000000000001
2013-03-16,51.52
2013-03-17,45.92
2013-03-18,50.400000000000006
2013-03-19,49.84
2013-03-20,48.160000000000004
2013-03-21,50.96000000000001
2013-03-22,51.52
2013-03-23,46.480000000000004
2013-03-24,44.24
2013-03-25,50.400000000000006
2013-03-26,50.96000000000001
2013-03-27,49.84
2013-03-28,50.96000000000001
2013-03-29,52.080000000000005
2013-03-30,48.720000000000006
2013-03-31,40.88
2013-04-01,53.46
2013-04-02,49.68000000000001
2013-04-03,52.38
2013-04-04,49.68000000000001
2013-04-05,51.300000000000004
2013-04-06,50.220000000000006
2013-04-07,45.900000000000006
2013-04-08,49.14
2013-04-09,46.980000000000004
2013-04-10,48.6
2013-04-11,49.68000000000001
2013-04-12,52.92
2013-04-13,52.92
2013-04-14,46.440000000000005
2013-04-15,49.14
2013-04-16,48.06
2013-04-17,49.14
2013-04-18,51.300000000000004
2013-04-19,48.6
2013-04-20,50.760000000000005
2013-04-21,47.52
2013-04-22,52.92
2013-04-23,50.220000000000006
2013-04-24,50.760000000000005
2013-04-25,54.0
2013-04-26,52.92
2013-04-27,50.760000000000005
2013-04-28,50.760000000000005
2013-04-29,52.38
2013-04-30,51.84
2013-05-01,51.919999999999995
2013-05-02,50.15
2013-05-03,54.279999999999994
2013-05-04,51.33
2013-05-05,48.97
2013-05-06,50.739999999999995
2013-05-07,53.69
2013-05-08,53.69
2013-05-09,51.919999999999995
2013-05-10,53.69
2013-05-11,52.51
2013-05-12,50.15
2013-05-13,56.05
2013-05-14,54.279999999999994
2013-05-15,53.099999999999994
2013-05-16,51.919999999999995
2013-05-17,54.279999999999994
2013-05-18,51.33
2013-05-19,49.559999999999995
2013-05-20,54.279999999999994
2013-05-21,53.69
2013-05-22,55.459999999999994
2013-05-23,59.0
2013-05-24,57.23
2013-05-25,56.05
2013-05-26,47.79
2013-05-27,47.79
2013-05-28,55.459999999999994
2013-05-29,56.64
2013-05-30,56.64
2013-05-31,57.82
2013-06-01,51.24
2013-06-02,49.41
2013-06-03,54.29
2013-06-04,52.46
2013-06-05,53.07
2013-06-06,61.0
2013-06-07,60.39
2013-06-08,51.85
2013-06-09,46.97
2013-06-10,55.51
2013-06-11,54.29
2013-06-12,50.019999999999996
2013-06-13,51.24
2013-06-14,54.29
2013-06-15,53.07
2013-06-16,48.19
2013-06-17,53.07
2013-06-18,56.12
2013-06-19,51.85
2013-06-20,51.85
2013-06-21,53.07
2013-06-22,50.629999999999995
2013-06-23,46.36
2013-06-24,53.07
2013-06-25,51.85
2013-06-26,53.07
2013-06-27,51.85
2013-06-28,52.46
2013-06-29,53.68
2013-06-30,50.629999999999995
2013-07-01,62.37
2013-07-02,62.37
2013-07-03,58.59
2013-07-04,51.03
2013-07-05,63.0
2013-07-06,56.07
2013-07-07,53.55
2013-07-08,58.59
2013-07-09,57.96
2013-07-10,58.59
2013-07-11,57.33
2013-07-12,58.59
2013-07-13,56.07
2013-07-14,47.88
2013-07-15,57.96
2013-07-16,57.96
2013-07-17,59.85
2013-07-18,56.7
2013-07-19,58.59
2013-07-20,55.44
2013-07-21,52.92
2013-07-22,56.7
2013-07-23,61.11
2013-07-24,59.22
2013-07-25,55.44
2013-07-26,57.96
2013-07-27,56.7
2013-07-28,52.92
2013-07-29,59.22
2013-07-30,59.85
2013-07-31,59.85
2013-08-01,56.64
2013-08-02,59.0
2013-08-03,53.099999999999994
2013-08-04,51.33
2013-08-05,54.279999999999994
2013-08-06,54.87
2013-08-07,55.459999999999994
2013-08-08,54.87
2013-08-09,54.279999999999994
2013-08-10,51.919999999999995
2013-08-11,49.559999999999995
2013-08-12,53.69
2013-08-13,53.099999999999994
2013-08-14,54.279999999999994
2013-08-15,53.099999999999994
2013-08-16,54.87
2013-08-17,50.739999999999995
2013-08-18,49.559999999999995
2013-08-19,51.919999999999995
2013-08-20,54.279999999999994
2013-08-21,53.099999999999994
2013-08-22,53.099999999999994
2013-08-23,51.33
2013-08-24,50.15
2013-08-25,47.79
2013-08-26,52.51
2013-08-27,48.97
2013-08-28,51.33
2013-08-29,50.15
2013-08-30,56.05
2013-08-31,53.099999999999994
2013-09-01,35.64
2013-09-02,40.260000000000005
2013-09-03,41.580000000000005
2013-09-04,40.260000000000005
2013-09-05,40.260000000000005
2013-09-06,40.260000000000005
2013-09-07,40.92
2013-09-08,37.620000000000005
2013-09-09,40.260000000000005
2013-09-10,46.86
2013-09-11,48.84
2013-09-12,46.86
2013-09-13,48.84
2013-09-14,44.88
2013-09-15,42.9
2013-09-16,42.24
2013-09-17,42.9
2013-09-18,42.24
2013-09-19,48.18
2013-09-20,66.0
2013-09-21,53.46
2013-09-22,46.2
2013-09-23,46.2
2013-09-24,43.56
2013-09-25,41.580000000000005
2013-09-26,40.92
2013-09-27,42.24
