date,NVIDIA
2012-08-02,51.0
2012-08-03,45.0
2012-08-04,51.75
2012-08-05,49.5
2012-08-06,45.75
2012-08-07,41.25
2012-08-08,45.0
2012-08-09,45.75
2012-08-10,48.75
2012-08-11,46.5
2012-08-12,45.75
2012-08-13,41.25
2012-08-14,50.25
2012-08-15,55.5
2012-08-16,54.0
2012-08-17,51.0
2012-08-18,59.25
2012-08-19,54.0
2012-08-20,43.5
2012-08-21,52.5
2012-08-22,49.5
2012-08-23,57.0
2012-08-24,49.5
2012-08-25,75.0
2012-08-26,59.25
2012-08-27,48.75
2012-08-28,57.0
2012-08-29,51.0
2012-08-30,56.25
2012-08-31,55.5
2012-09-01,70.0
2012-09-02,68.6
2012-09-03,56.699999999999996
2012-09-04,44.8
2012-09-05,56.0
2012-09-06,57.4
2012-09-07,53.9
2012-09-08,52.5
2012-09-09,56.0
2012-09-10,54.599999999999994
2012-09-11,51.8
2012-09-12,55.3
2012-09-13,58.8
2012-09-14,56.0
2012-09-15,60.199999999999996
2012-09-16,56.0
2012-09-17,51.8
2012-09-18,55.3
2012-09-19,53.9
2012-09-20,54.599999999999994
2012-09-21,51.8
2012-09-22,65.1
2012-09-23,48.3
2012-09-24,49.0
2012-09-25,52.5
2012-09-26,46.199999999999996
2012-09-27,44.099999999999994
2012-09-28,48.3
2012-09-29,58.8
2012-09-30,44.099999999999994
2012-10-01,48.97
2012-10-02,48.97
2012-10-03,44.839999999999996
2012-10-04,48.379999999999995
2012-10-05,50.739999999999995
2012-10-06,54.279999999999994
2012-10-07,51.919999999999995
2012-10-08,39.53
2012-10-09,45.43
2012-10-10,52.51
2012-10-11,54.87
2012-10-12,48.97
2012-10-13,59.0
2012-10-14,53.69
2012-10-15,44.839999999999996
2012-10-16,45.43
2012-10-17,47.79
2012-10-18,47.79
2012-10-19,47.79
2012-10-20,50.15
2012-10-21,49.559999999999995
2012-10-22,43.07
2012-10-23,50.15
2012-10-24,54.87
2012-10-25,48.379999999999995
2012-10-26,50.15
2012-10-27,56.64
2012-10-28,47.199999999999996
2012-10-29,49.559999999999995
2012-10-30,54.87
2012-10-31,46.019999999999996
2012-11-01,37.52
2012-11-02,36.85
2012-11-03,42.88
2012-11-04,41.54
2012-11-05,34.17
2012-11-06,34.84
2012-11-07,32.160000000000004
2012-11-08,39.53
2012-11-09,36.18
2012-11-10,44.89
2012-11-11,36.18
2012-11-12,35.510000000000005
2012-11-13,42.21
2012-11-14,44.220000000000006
2012-11-15,42.88
2012-11-16,43.550000000000004
2012-11-17,47.57
2012-11-18,48.24
2012-11-19,44.89
2012-11-20,46.230000000000004
2012-11-21,50.25
2012-11-22,67.0
2012-11-23,62.31
2012-11-24,61.64
2012-11-25,51.59
2012-11-26,51.59
2012-11-27,45.56
2012-11-28,41.54
2012-11-29,45.56
2012-11-30,46.900000000000006
2012-12-01,59.339999999999996
2012-12-02,55.88999999999999
2012-12-03,51.059999999999995
2012-12-04,53.81999999999999
2012-12-05,50.37
2012-12-06,46.919999999999995
2012-12-07,50.37
2012-12-08,62.78999999999999
2012-12-09,55.199999999999996
2012-12-10,45.54
2012-12-11,46.919999999999995
2012-12-12,54.51
2012-12-13,53.129999999999995
2012-12-14,47.61
2012-12-15,57.269999999999996
2012-12-16,57.269999999999996
2012-12-17,50.37
2012-12-18,60.72
2012-12-19,60.72
2012-12-20,58.65
2012-12-21,53.129999999999995
2012-12-22,63.48
2012-12-23,61.41
2012-12-24,57.959999999999994
2012-12-25,67.61999999999999
2012-12-26,62.78999999999999
2012-12-27,69.0
2012-12-28,63.48
2012-12-29,62.099999999999994
2012-12-30,62.78999999999999
2012-12-31,53.81999999999999
2013-01-01,39.33
2013-01-02,42.089999999999996
2013-01-03,41.4
2013-01-04,43.47
2013-01-05,46.23
2013-01-06,50.37
2013-01-07,69.0
2013-01-08,64.86
2013-01-09,55.199999999999996
2013-01-10,51.74999999999999
2013-01-11,44.16
2013-01-12,53.129999999999995
2013-01-13,46.23
2013-01-14,39.33
2013-01-15,42.089999999999996
2013-01-16,42.779999999999994
2013-01-17,44.16
2013-01-18,40.019999999999996
2013-01-19,47.61
2013-01-20,46.919999999999995
2013-01-21,37.26
2013-01-22,41.4
2013-01-23,42.779999999999994
2013-01-24,39.33
2013-01-25,44.849999999999994
2013-01-26,44.849999999999994
2013-01-27,43.47
2013-01-28,37.949999999999996
2013-01-29,42.779999999999994
2013-01-30,39.33
2013-01-31,40.019999999999996
2013-02-01,47.599999999999994
2013-02-02,51.8
2013-02-03,48.3
2013-02-04,40.599999999999994
2013-02-05,39.199999999999996
2013-02-06,36.4
2013-02-07,44.8
2013-02-08,44.8
2013-02-09,50.4
2013-02-10,44.8
2013-02-11,43.4
2013-02-12,42.699999999999996
2013-02-13,51.8
2013-02-14,44.099999999999994
2013-02-15,46.9
2013-02-16,54.599999999999994
2013-02-17,51.099999999999994
2013-02-18,48.3
2013-02-19,58.8
2013-02-20,60.9
2013-02-21,70.0
2013-02-22,63.699999999999996
2013-02-23,63.699999999999996
2013-02-24,58.8
2013-02-25,51.099999999999994
2013-02-26,51.8
2013-02-27,48.3
2013-02-28,49.699999999999996
2013-03-01,53.199999999999996
2013-03-02,58.099999999999994
2013-03-03,58.099999999999994
2013-03-04,56.699999999999996
2013-03-05,58.099999999999994
2013-03-06,59.49999999999999
2013-03-07,59.49999999999999
2013-03-08,58.099999999999994
2013-03-09,60.199999999999996
2013-03-10,62.99999999999999
2013-03-11,55.3
2013-03-12,58.099999999999994
2013-03-13,55.3
2013-03-14,53.199999999999996
2013-03-15,51.8
2013-03-16,64.39999999999999
2013-03-17,53.199999999999996
2013-03-18,60.199999999999996
2013-03-19,54.599999999999994
2013-03-20,56.0
2013-03-21,55.3
2013-03-22,53.9
2013-03-23,57.4
2013-03-24,53.199999999999996
2013-03-25,53.199999999999996
2013-03-26,70.0
2013-03-27,64.39999999999999
2013-03-28,60.9
2013-03-29,57.4
2013-03-30,63.699999999999996
2013-03-31,56.0
2013-04-01,45.6
2013-04-02,45.0
2013-04-03,48.0
2013-04-04,50.4
2013-04-05,48.6
2013-04-06,47.4
2013-04-07,54.6
2013-04-08,42.6
2013-04-09,43.199999999999996
2013-04-10,46.8
2013-04-11,52.199999999999996
2013-04-12,47.4
2013-04-13,60.0
2013-04-14,55.199999999999996
2013-04-15,39.6
2013-04-16,42.0
2013-04-17,43.199999999999996
2013-04-18,43.199999999999996
2013-04-19,42.0
2013-04-20,46.199999999999996
2013-04-21,48.6
2013-04-22,39.6
2013-04-23,43.199999999999996
2013-04-24,49.199999999999996
2013-04-25,48.0
2013-04-26,40.8
2013-04-27,54.6
2013-04-28,42.0
2013-04-29,47.4
2013-04-30,37.8
2013-05-01,45.99
2013-05-02,38.43
2013-05-03,47.88
2013-05-04,47.25
2013-05-05,47.88
2013-05-06,47.25
2013-05-07,46.62
2013-05-08,45.36
2013-05-09,40.95
2013-05-10,46.62
2013-05-11,47.25
2013-05-12,47.25
