date,Disney
2013-03-09,42.300000000000004
2013-03-10,44.550000000000004
2013-03-11,35.550000000000004
2013-03-12,33.300000000000004
2013-03-13,33.300000000000004
2013-03-14,34.65
2013-03-15,35.1
2013-03-16,42.75
2013-03-17,42.300000000000004
2013-03-18,35.1
2013-03-19,33.300000000000004
2013-03-20,33.300000000000004
2013-03-21,32.4
2013-03-22,33.75
2013-03-23,40.050000000000004
2013-03-24,41.85
2013-03-25,35.1
2013-03-26,34.2
2013-03-27,35.1
2013-03-28,35.550000000000004
2013-03-29,36.0
2013-03-30,39.6
2013-03-31,38.7
2013-04-01,30.66
2013-04-02,31.08
2013-04-03,31.919999999999998
2013-04-04,32.76
2013-04-05,32.339999999999996
2013-04-06,38.64
2013-04-07,42.0
2013-04-08,30.24
2013-04-09,28.98
2013-04-10,28.14
2013-04-11,28.98
2013-04-12,29.4
2013-04-13,38.22
2013-04-14,41.16
2013-04-15,28.14
2013-04-16,26.88
2013-04-17,27.72
2013-04-18,27.72
2013-04-19,27.72
2013-04-20,34.44
2013-04-21,37.379999999999995
2013-04-22,28.98
2013-04-23,27.3
2013-04-24,27.3
2013-04-25,28.98
2013-04-26,28.56
2013-04-27,37.8
2013-04-28,38.64
2013-04-29,29.82
2013-04-30,29.4
2013-05-01,30.53
2013-05-02,30.96
2013-05-03,31.39
2013-05-04,39.99
2013-05-05,39.56
2013-05-06,33.11
2013-05-07,31.39
2013-05-08,29.669999999999998
2013-05-09,30.53
2013-05-10,33.97
2013-05-11,38.7
2013-05-12,40.85
2013-05-13,32.25
2013-05-14,33.54
2013-05-15,33.54
2013-05-16,32.25
2013-05-17,33.54
2013-05-18,39.13
2013-05-19,40.42
2013-05-20,31.82
2013-05-21,29.669999999999998
2013-05-22,31.82
2013-05-23,33.54
2013-05-24,36.12
2013-05-25,43.0
2013-05-26,40.85
2013-05-27,39.99
2013-05-28,32.68
2013-05-29,34.4
2013-05-30,33.54
2013-05-31,33.11
2013-06-01,39.99
2013-06-02,43.0
2013-06-03,37.41
2013-06-04,34.83
2013-06-05,34.4
2013-06-06,34.83
2013-06-07,35.26
2013-06-08,40.42
2013-06-09,41.71
2013-06-10,35.69
2013-06-11,36.55
2013-06-12,34.83
2013-06-13,35.69
2013-06-14,33.97
2013-06-15,38.7
2013-06-16,39.13
2013-06-17,36.55
2013-06-18,35.26
2013-06-19,34.83
2013-06-20,33.54
2013-06-21,34.4
2013-06-22,39.13
2013-06-23,39.99
2013-06-24,34.83
2013-06-25,35.69
2013-06-26,35.69
2013-06-27,33.97
2013-06-28,34.83
2013-06-29,40.42
2013-06-30,43.0
2013-07-01,31.02
2013-07-02,30.549999999999997
2013-07-03,29.61
2013-07-04,32.9
2013-07-05,30.549999999999997
2013-07-06,34.309999999999995
2013-07-07,34.78
2013-07-08,31.959999999999997
2013-07-09,32.43
2013-07-10,30.549999999999997
2013-07-11,31.02
2013-07-12,29.61
2013-07-13,35.25
2013-07-14,35.25
2013-07-15,33.37
2013-07-16,31.959999999999997
2013-07-17,32.43
2013-07-18,31.959999999999997
2013-07-19,34.78
2013-07-20,47.0
2013-07-21,39.949999999999996
2013-07-22,33.37
2013-07-23,31.959999999999997
2013-07-24,32.43
2013-07-25,31.49
2013-07-26,30.08
2013-07-27,37.129999999999995
2013-07-28,36.66
2013-07-29,31.959999999999997
2013-07-30,31.959999999999997
2013-07-31,30.549999999999997
2013-08-01,34.65
2013-08-02,34.2
2013-08-03,38.25
2013-08-04,38.25
2013-08-05,33.75
2013-08-06,35.1
2013-08-07,33.75
2013-08-08,33.300000000000004
2013-08-09,35.1
2013-08-10,38.25
2013-08-11,42.300000000000004
2013-08-12,38.7
2013-08-13,36.0
2013-08-14,33.75
2013-08-15,33.75
2013-08-16,34.2
2013-08-17,40.5
2013-08-18,45.0
2013-08-19,44.1
2013-08-20,38.25
2013-08-21,35.550000000000004
2013-08-22,33.300000000000004
2013-08-23,32.85
2013-08-24,40.95
2013-08-25,40.050000000000004
2013-08-26,29.25
2013-08-27,29.7
2013-08-28,28.8
2013-08-29,29.25
2013-08-30,30.150000000000002
2013-08-31,38.25
2013-09-01,39.2
2013-09-02,40.0
2013-09-03,28.8
2013-09-04,28.400000000000002
2013-09-05,29.200000000000003
2013-09-06,29.200000000000003
2013-09-07,36.800000000000004
2013-09-08,37.6
2013-09-09,29.6
2013-09-10,27.6
2013-09-11,27.6
2013-09-12,28.0
2013-09-13,30.0
2013-09-14,39.2
2013-09-15,39.6
2013-09-16,29.200000000000003
2013-09-17,28.400000000000002
2013-09-18,28.400000000000002
2013-09-19,28.400000000000002
2013-09-20,30.0
2013-09-21,40.0
2013-09-22,39.2
2013-09-23,32.4
2013-09-24,31.6
2013-09-25,30.8
2013-09-26,31.6
2013-09-27,31.6
2013-09-28,39.6
2013-09-29,39.6
2013-09-30,31.6
2013-10-01,31.39
2013-10-02,31.82
2013-10-03,31.82
2013-10-04,32.25
2013-10-05,39.99
2013-10-06,42.57
2013-10-07,32.25
2013-10-08,31.82
2013-10-09,33.11
2013-10-10,31.39
2013-10-11,31.82
2013-10-12,39.56
2013-10-13,40.85
2013-10-14,34.4
2013-10-15,33.11
2013-10-16,32.25
2013-10-17,31.82
2013-10-18,33.11
2013-10-19,39.13
2013-10-20,43.0
2013-10-21,33.11
2013-10-22,31.39
2013-10-23,30.96
2013-10-24,30.53
2013-10-25,30.96
2013-10-26,39.13
2013-10-27,39.99
2013-10-28,31.82
2013-10-29,30.53
2013-10-30,30.099999999999998
2013-10-31,29.24
2013-11-01,28.35
2013-11-02,36.45
2013-11-03,38.25
2013-11-04,29.7
2013-11-05,29.25
2013-11-06,29.25
2013-11-07,29.7
2013-11-08,31.5
2013-11-09,38.7
2013-11-10,40.050000000000004
2013-11-11,33.75
2013-11-12,28.8
2013-11-13,29.7
2013-11-14,29.7
2013-11-15,31.5
2013-11-16,36.9
2013-11-17,38.7
2013-11-18,30.150000000000002
2013-11-19,28.35
2013-11-20,31.95
2013-11-21,29.25
2013-11-22,30.6
2013-11-23,38.7
2013-11-24,40.050000000000004
2013-11-25,33.300000000000004
2013-11-26,32.85
2013-11-27,36.0
2013-11-28,41.4
2013-11-29,45.0
2013-11-30,45.0
2013-12-01,37.5
2013-12-02,34.0
2013-12-03,31.0
2013-12-04,29.0
2013-12-05,30.5
2013-12-06,30.5
2013-12-07,38.0
2013-12-08,38.5
2013-12-09,33.0
2013-12-10,31.5
2013-12-11,30.5
2013-12-12,30.0
2013-12-13,32.0
2013-12-14,39.5
2013-12-15,41.5
2013-12-16,32.0
2013-12-17,31.5
2013-12-18,30.0
2013-12-19,30.0
2013-12-20,31.5
2013-12-21,38.0
2013-12-22,39.0
2013-12-23,36.0
2013-12-24,35.5
2013-12-25,50.0
2013-12-26,43.5
2013-12-27,43.0
2013-12-28,44.5
2013-12-29,45.5
2013-12-30,40.0
2013-12-31,39.5
2014-01-01,49.92
2014-01-02,43.68
2014-01-03,43.160000000000004
2014-01-04,46.28
2014-01-05,47.84
2014-01-06,37.44
2014-01-07,35.88
2014-01-08,35.88
2014-01-09,37.44
2014-01-10,40.04
2014-01-11,49.4
2014-01-12,50.440000000000005
2014-01-13,38.480000000000004
2014-01-14,35.88
2014-01-15,34.32
2014-01-16,35.36
2014-01-17,35.88
2014-01-18,49.4
2014-01-19,52.0
2014-01-20,44.2
2014-01-21,37.44
2014-01-22,36.92
2014-01-23,34.84
2014-01-24,35.88
