date,sba loans
2013-02-23,0.92
2013-02-24,1.84
2013-02-25,2.44
2013-02-26,2.72
2013-02-27,4.0
2013-02-28,3.8000000000000003
2013-03-01,1.53
2013-03-02,0.6599999999999999
2013-03-03,0.8999999999999999
2013-03-04,1.8299999999999998
2013-03-05,3.0
2013-03-06,1.44
2013-03-07,1.29
2013-03-08,1.3199999999999998
2013-03-09,1.14
2013-03-10,1.68
2013-03-11,1.47
2013-03-12,1.7999999999999998
2013-03-13,0.72
2013-03-14,3.0
2013-03-15,2.16
2013-03-16,1.71
2013-03-17,2.04
2013-03-18,1.29
2013-03-19,2.37
2013-03-20,1.65
2013-03-21,1.68
2013-03-22,1.3499999999999999
2013-03-23,1.02
2013-03-24,0.6599999999999999
2013-03-25,2.37
2013-03-26,1.8599999999999999
2013-03-27,1.14
2013-03-28,2.13
2013-03-29,1.23
2013-03-30,1.92
2013-03-31,0.99
2013-04-01,2.72
2013-04-02,2.68
2013-04-03,2.96
2013-04-04,1.6400000000000001
2013-04-05,1.68
2013-04-06,3.36
2013-04-07,1.32
2013-04-08,2.4
2013-04-09,2.12
2013-04-10,2.4
2013-04-11,2.96
2013-04-12,3.04
2013-04-13,1.0
2013-04-14,1.0
2013-04-15,2.6
2013-04-16,2.6
2013-04-17,3.96
2013-04-18,4.0
2013-04-19,2.44
2013-04-20,1.36
2013-04-21,1.36
2013-04-22,1.6400000000000001
2013-04-23,2.12
2013-04-24,2.12
2013-04-25,1.36
2013-04-26,1.72
2013-04-27,2.08
2013-04-28,2.52
2013-04-29,1.32
2013-04-30,3.7600000000000002
2013-05-01,2.7600000000000002
2013-05-02,2.4
2013-05-03,2.48
2013-05-04,1.52
2013-05-05,1.0
2013-05-06,2.8000000000000003
2013-05-07,3.56
2013-05-08,1.16
2013-05-09,2.4
2013-05-10,2.52
2013-05-11,3.04
2013-05-12,1.56
2013-05-13,2.44
2013-05-14,3.2
2013-05-15,2.8000000000000003
2013-05-16,2.44
2013-05-17,2.12
2013-05-18,1.04
2013-05-19,2.48
2013-05-20,3.6
2013-05-21,2.7600000000000002
2013-05-22,3.2
2013-05-23,1.24
2013-05-24,0.84
2013-05-25,2.12
2013-05-26,1.12
2013-05-27,1.48
2013-05-28,2.8000000000000003
2013-05-29,4.0
2013-05-30,3.64
2013-05-31,3.4
2013-06-01,2.68
2013-06-02,3.08
2013-06-03,3.24
2013-06-04,3.04
2013-06-05,1.84
2013-06-06,2.8000000000000003
2013-06-07,1.92
2013-06-08,1.2
2013-06-09,1.96
2013-06-10,3.36
2013-06-11,2.44
2013-06-12,1.84
2013-06-13,1.84
2013-06-14,2.92
2013-06-15,1.2
2013-06-16,0.0
2013-06-17,3.44
2013-06-18,3.96
2013-06-19,4.0
2013-06-20,2.84
2013-06-21,2.92
2013-06-22,2.0
2013-06-23,1.96
2013-06-24,2.8000000000000003
2013-06-25,3.08
2013-06-26,3.68
2013-06-27,1.56
2013-06-28,2.2800000000000002
2013-06-29,1.96
2013-06-30,2.96
2013-07-01,2.04
2013-07-02,2.04
2013-07-03,2.13
2013-07-04,1.74
2013-07-05,1.65
2013-07-06,1.71
2013-07-07,3.0
2013-07-08,2.94
2013-07-09,2.6999999999999997
2013-07-10,2.4899999999999998
2013-07-11,2.31
2013-07-12,2.13
2013-07-13,1.68
2013-07-14,0.0
2013-07-15,2.04
2013-07-16,1.7999999999999998
2013-07-17,2.04
2013-07-18,2.55
2013-07-19,1.17
2013-07-20,1.41
2013-07-21,1.44
2013-07-22,2.25
2013-07-23,2.9099999999999997
2013-07-24,0.8999999999999999
2013-07-25,1.8299999999999998
2013-07-26,2.37
2013-07-27,1.98
2013-07-28,1.71
2013-07-29,2.6999999999999997
2013-07-30,2.46
2013-07-31,1.7999999999999998
2013-08-01,1.5
2013-08-02,1.56
2013-08-03,1.5899999999999999
2013-08-04,0.8099999999999999
2013-08-05,2.58
2013-08-06,2.13
2013-08-07,1.05
2013-08-08,1.92
2013-08-09,2.2199999999999998
2013-08-10,1.98
2013-08-11,0.8099999999999999
2013-08-12,3.0
2013-08-13,2.31
2013-08-14,2.25
2013-08-15,2.61
2013-08-16,1.1099999999999999
2013-08-17,1.5899999999999999
2013-08-18,1.17
2013-08-19,2.34
2013-08-20,2.76
2013-08-21,1.71
2013-08-22,1.5
2013-08-23,1.53
2013-08-24,2.4
2013-08-25,2.1
2013-08-26,2.76
