date,Adobe
2013-06-04,65.1
2013-06-05,68.6
2013-06-06,65.1
2013-06-07,59.49999999999999
2013-06-08,51.099999999999994
2013-06-09,48.3
2013-06-10,62.3
2013-06-11,69.3
2013-06-12,68.6
2013-06-13,65.8
2013-06-14,60.9
2013-06-15,51.8
2013-06-16,48.3
2013-06-17,63.699999999999996
2013-06-18,70.0
2013-06-19,65.1
2013-06-20,66.5
2013-06-21,60.9
2013-06-22,48.3
2013-06-23,49.699999999999996
2013-06-24,62.99999999999999
2013-06-25,64.39999999999999
2013-06-26,65.1
2013-06-27,65.8
2013-06-28,55.3
2013-06-29,53.199999999999996
2013-06-30,51.8
2013-07-01,65.32
2013-07-02,61.769999999999996
2013-07-03,58.93
2013-07-04,48.28
2013-07-05,50.41
2013-07-06,44.73
2013-07-07,48.28
2013-07-08,58.93
2013-07-09,63.9
2013-07-10,71.0
2013-07-11,68.16
2013-07-12,61.769999999999996
2013-07-13,52.54
2013-07-14,45.44
2013-07-15,65.32
2013-07-16,65.32
2013-07-17,69.58
2013-07-18,63.19
2013-07-19,58.93
2013-07-20,45.44
2013-07-21,40.47
2013-07-22,58.22
2013-07-23,67.45
2013-07-24,68.16
2013-07-25,59.64
2013-07-26,57.51
2013-07-27,49.699999999999996
2013-07-28,47.57
2013-07-29,58.93
2013-07-30,65.32
2013-07-31,66.74
2013-08-01,63.9
2013-08-02,59.64
2013-08-03,53.25
2013-08-04,48.989999999999995
2013-08-05,58.93
2013-08-06,64.61
2013-08-07,65.32
2013-08-08,66.74
2013-08-09,56.8
2013-08-10,47.57
2013-08-11,48.28
2013-08-12,59.64
2013-08-13,61.769999999999996
2013-08-14,66.03
2013-08-15,61.059999999999995
2013-08-16,61.769999999999996
2013-08-17,47.57
2013-08-18,46.86
2013-08-19,59.64
2013-08-20,63.19
2013-08-21,66.74
2013-08-22,66.03
2013-08-23,58.93
2013-08-24,51.12
2013-08-25,51.83
2013-08-26,58.93
2013-08-27,68.16
2013-08-28,66.74
2013-08-29,71.0
2013-08-30,60.349999999999994
2013-08-31,46.86
2013-09-01,49.699999999999996
2013-09-02,49.699999999999996
2013-09-03,62.99999999999999
2013-09-04,65.8
2013-09-05,67.89999999999999
2013-09-06,62.3
2013-09-07,51.099999999999994
2013-09-08,51.099999999999994
2013-09-09,62.3
2013-09-10,65.8
2013-09-11,70.0
2013-09-12,67.89999999999999
2013-09-13,63.699999999999996
2013-09-14,49.699999999999996
2013-09-15,51.8
2013-09-16,65.1
2013-09-17,65.1
2013-09-18,67.19999999999999
2013-09-19,60.9
2013-09-20,60.9
2013-09-21,46.9
2013-09-22,49.0
2013-09-23,58.8
2013-09-24,62.99999999999999
2013-09-25,62.99999999999999
2013-09-26,62.99999999999999
2013-09-27,60.9
2013-09-28,45.5
2013-09-29,47.599999999999994
2013-09-30,58.099999999999994
2013-10-01,58.46
2013-10-02,60.68
2013-10-03,64.38
2013-10-04,74.0
2013-10-05,59.94
2013-10-06,56.24
2013-10-07,62.9
2013-10-08,63.64
2013-10-09,67.34
2013-10-10,68.08
2013-10-11,61.42
2013-10-12,49.58
2013-10-13,49.58
2013-10-14,59.94
2013-10-15,66.6
2013-10-16,59.2
2013-10-17,65.12
2013-10-18,58.46
2013-10-19,46.62
2013-10-20,49.58
2013-10-21,62.16
2013-10-22,65.86
2013-10-23,67.34
2013-10-24,63.64
2013-10-25,59.2
2013-10-26,49.58
2013-10-27,48.839999999999996
2013-10-28,62.16
2013-10-29,65.12
2013-10-30,64.38
2013-10-31,59.94
2013-11-01,60.72
2013-11-02,51.74999999999999
2013-11-03,47.61
2013-11-04,61.41
2013-11-05,66.92999999999999
2013-11-06,57.959999999999994
2013-11-07,62.78999999999999
2013-11-08,60.72
2013-11-09,46.919999999999995
2013-11-10,48.989999999999995
2013-11-11,57.269999999999996
2013-11-12,62.099999999999994
2013-11-13,62.099999999999994
2013-11-14,63.48
2013-11-15,64.17
2013-11-16,55.199999999999996
2013-11-17,48.3
2013-11-18,62.78999999999999
2013-11-19,64.17
2013-11-20,66.92999999999999
2013-11-21,66.92999999999999
2013-11-22,69.0
2013-11-23,50.37
2013-11-24,50.37
2013-11-25,55.199999999999996
2013-11-26,59.339999999999996
2013-11-27,57.269999999999996
2013-11-28,43.47
2013-11-29,49.67999999999999
2013-11-30,52.44
2013-12-01,45.56
2013-12-02,64.32000000000001
2013-12-03,67.0
2013-12-04,64.99000000000001
2013-12-05,63.650000000000006
2013-12-06,61.64
2013-12-07,55.61000000000001
2013-12-08,52.260000000000005
2013-12-09,61.64
2013-12-10,63.650000000000006
2013-12-11,64.99000000000001
2013-12-12,61.64
2013-12-13,61.64
2013-12-14,48.24
2013-12-15,50.92
2013-12-16,58.96
2013-12-17,59.63
2013-12-18,61.64
2013-12-19,58.290000000000006
2013-12-20,57.620000000000005
2013-12-21,50.25
2013-12-22,47.57
2013-12-23,52.260000000000005
2013-12-24,47.57
2013-12-25,52.93
2013-12-26,56.95
2013-12-27,58.290000000000006
2013-12-28,50.25
2013-12-29,50.92
2013-12-30,54.940000000000005
2013-12-31,56.28
2014-01-01,43.07
2014-01-02,53.29
2014-01-03,56.94
2014-01-04,44.53
2014-01-05,46.72
2014-01-06,56.21
2014-01-07,59.129999999999995
2014-01-08,63.51
2014-01-09,64.24
