date,CocaCola
2013-02-06,53.0
2013-02-07,28.09
2013-02-08,34.45
2013-02-09,15.370000000000001
2013-02-10,34.45
2013-02-11,19.080000000000002
2013-02-12,24.91
2013-02-13,22.26
2013-02-14,43.46
2013-02-15,27.03
2013-02-16,10.07
2013-02-17,20.67
2013-02-18,23.32
2013-02-19,27.560000000000002
2013-02-20,24.91
2013-02-21,37.63
2013-02-22,20.14
2013-02-23,20.14
2013-02-24,40.81
2013-02-25,38.160000000000004
2013-02-26,24.380000000000003
2013-02-27,24.91
2013-02-28,24.91
2013-03-01,28.080000000000002
2013-03-02,44.72
2013-03-03,27.560000000000002
2013-03-04,27.560000000000002
2013-03-05,35.88
2013-03-06,17.68
2013-03-07,36.4
2013-03-08,28.6
2013-03-09,22.36
2013-03-10,44.2
2013-03-11,41.08
2013-03-12,31.720000000000002
2013-03-13,27.560000000000002
2013-03-14,22.880000000000003
2013-03-15,33.800000000000004
2013-03-16,10.92
2013-03-17,44.72
2013-03-18,27.04
2013-03-19,31.200000000000003
2013-03-20,45.760000000000005
2013-03-21,32.24
2013-03-22,52.0
2013-03-23,33.800000000000004
2013-03-24,33.28
2013-03-25,18.2
2013-03-26,50.440000000000005
2013-03-27,28.080000000000002
2013-03-28,28.6
2013-03-29,35.36
2013-03-30,35.36
2013-03-31,42.64
2013-04-01,36.0
2013-04-02,38.7
2013-04-03,21.150000000000002
2013-04-04,32.85
2013-04-05,24.75
2013-04-06,29.7
2013-04-07,32.85
2013-04-08,35.550000000000004
2013-04-09,35.1
2013-04-10,14.85
2013-04-11,29.7
2013-04-12,30.6
2013-04-13,26.1
2013-04-14,40.5
2013-04-15,25.650000000000002
2013-04-16,37.800000000000004
2013-04-17,26.55
2013-04-18,35.550000000000004
2013-04-19,21.150000000000002
2013-04-20,16.650000000000002
2013-04-21,41.4
2013-04-22,45.0
2013-04-23,26.1
2013-04-24,13.05
2013-04-25,39.6
2013-04-26,28.35
2013-04-27,22.95
2013-04-28,37.35
2013-04-29,17.55
2013-04-30,38.25
2013-05-01,19.240000000000002
2013-05-02,9.88
2013-05-03,7.800000000000001
2013-05-04,12.48
2013-05-05,12.48
2013-05-06,7.28
2013-05-07,9.88
2013-05-08,14.56
2013-05-09,7.28
2013-05-10,26.0
2013-05-11,6.24
2013-05-12,13.0
2013-05-13,15.08
2013-05-14,12.48
2013-05-15,12.48
2013-05-16,27.560000000000002
2013-05-17,18.2
2013-05-18,19.240000000000002
2013-05-19,6.24
2013-05-20,4.68
2013-05-21,24.44
2013-05-22,14.56
2013-05-23,12.48
2013-05-24,18.72
2013-05-25,19.240000000000002
2013-05-26,33.800000000000004
2013-05-27,52.0
2013-05-28,14.56
2013-05-29,15.08
2013-05-30,9.88
2013-05-31,18.2
2013-06-01,31.02
2013-06-02,30.549999999999997
2013-06-03,39.949999999999996
2013-06-04,30.549999999999997
2013-06-05,31.02
2013-06-06,43.239999999999995
2013-06-07,25.38
2013-06-08,35.25
2013-06-09,42.769999999999996
2013-06-10,27.259999999999998
2013-06-11,27.259999999999998
2013-06-12,46.529999999999994
2013-06-13,27.729999999999997
2013-06-14,32.9
2013-06-15,44.18
2013-06-16,20.209999999999997
2013-06-17,18.799999999999997
2013-06-18,30.549999999999997
2013-06-19,24.439999999999998
2013-06-20,32.9
2013-06-21,39.01
2013-06-22,23.97
2013-06-23,39.949999999999996
2013-06-24,12.219999999999999
2013-06-25,31.02
2013-06-26,31.02
2013-06-27,47.0
2013-06-28,29.139999999999997
2013-06-29,17.39
2013-06-30,35.25
2013-07-01,23.92
2013-07-02,9.200000000000001
2013-07-03,24.380000000000003
2013-07-04,11.5
2013-07-05,25.3
2013-07-06,46.0
2013-07-07,45.080000000000005
2013-07-08,26.68
2013-07-09,20.7
2013-07-10,39.1
2013-07-11,24.380000000000003
2013-07-12,18.86
2013-07-13,18.400000000000002
2013-07-14,7.36
2013-07-15,14.72
2013-07-16,20.7
2013-07-17,23.92
2013-07-18,15.180000000000001
2013-07-19,9.200000000000001
2013-07-20,11.040000000000001
2013-07-21,26.220000000000002
2013-07-22,17.94
2013-07-23,17.48
2013-07-24,35.88
2013-07-25,15.180000000000001
2013-07-26,6.44
2013-07-27,26.220000000000002
2013-07-28,7.36
2013-07-29,9.200000000000001
2013-07-30,14.72
2013-07-31,23.92
2013-08-01,17.1
2013-08-02,14.4
2013-08-03,17.1
2013-08-04,17.55
2013-08-05,20.7
2013-08-06,20.7
2013-08-07,20.7
2013-08-08,45.0
2013-08-09,25.2
2013-08-10,17.1
2013-08-11,26.1
2013-08-12,10.35
2013-08-13,13.5
2013-08-14,13.950000000000001
2013-08-15,17.55
2013-08-16,18.0
2013-08-17,17.1
2013-08-18,29.7
2013-08-19,17.55
2013-08-20,34.2
2013-08-21,34.65
2013-08-22,17.55
2013-08-23,18.0
2013-08-24,34.2
2013-08-25,29.7
2013-08-26,20.25
2013-08-27,13.05
2013-08-28,26.55
2013-08-29,17.1
2013-08-30,14.4
2013-08-31,16.650000000000002
2013-09-01,45.24
2013-09-02,29.64
2013-09-03,32.24
2013-09-04,26.0
2013-09-05,39.0
2013-09-06,27.04
2013-09-07,27.560000000000002
2013-09-08,34.32
2013-09-09,41.6
2013-09-10,18.72
2013-09-11,24.96
2013-09-12,22.36
2013-09-13,19.76
2013-09-14,52.0
2013-09-15,34.32
2013-09-16,43.68
2013-09-17,28.6
2013-09-18,37.96
2013-09-19,22.36
2013-09-20,30.16
2013-09-21,23.92
2013-09-22,39.0
2013-09-23,39.0
2013-09-24,29.12
2013-09-25,22.880000000000003
2013-09-26,46.28
2013-09-27,41.6
2013-09-28,29.12
